지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 중랑구 상봉동 501 ,"서울특별시 중랑구 상봉로 131, 지하1,2층 (상봉동, 상봉듀오트리스주상복합)",CGV상봉1관,208076.3867,455017.5286
서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",메가박스중앙(주)더부티크목동현대백화점103(COMFORT),188884.0756,447186.8886
서울특별시 송파구 신천동 29,"서울특별시 송파구 올림픽로 300, 엔터테인먼트동 5~11층 (신천동, 롯데월드몰)",롯데시네마 월드타워(제21관),209074.9008,445657.8093
서울특별시 노원구 중계동 509-2 홈플러스,"서울특별시 노원구 동일로204가길 12 (중계동, 홈플러스)",CGV 중계 제7관,205985.9533,459730.4378
서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),메가박스중앙(주) 상봉지점 5관,206526.0022,454549.1674
서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),메가박스중앙(주) 상봉지점 4관,206526.0022,454549.1674
서울특별시 관악구 신림동 1641-2 14층,"서울특별시 관악구 신림로 330 (신림동,14층)",롯데시네마 신림 제6관,193754.4274,442407.2012
서울특별시 서대문구 대신동 85 외 6필지 하니솔빌딩 A동 지하1층,"서울특별시 서대문구 성산로 527, B1층 (대신동, 하늬솔빌딩)",필름포럼 1관,195028.4006,451317.9095
서울특별시 서대문구 대신동 85 하늬솔빌딩,"서울특별시 서대문구 성산로 527, 하늬솔빌딩 A동 B1층 (대신동)",필름포럼 2관,195028.4006,451317.9095
서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",롯데시네마 신대방 3관,191555.3544,442679.2088
서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",롯데시네마 신대방 1관,191555.3544,442679.2088
서울특별시 관악구 봉천동 862-1 12층,"서울특별시 관악구 남부순환로 1820, 12층 (봉천동, 에그엘로우)",롯데시네마 서울대입구제5관,195703.0437,442094.0858
서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",롯데시네마 신대방 2관,191555.3544,442679.2088
서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",롯데시네마 신대방 6관,191555.3544,442679.2088
서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",롯데시네마 신대방 4관,191555.3544,442679.2088
서울특별시 관악구 봉천동 862-1 12층,"서울특별시 관악구 남부순환로 1820, 12층 (봉천동, 에그엘로우)",롯데시네마 서울대입구제2관,195703.0437,442094.0858
서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",롯데시네마 신대방 5관,191555.3544,442679.2088
서울특별시 중구 충무로2가 65-9,서울특별시 중구 퇴계로 123 (충무로2가),CGV 명동역 씨네라이브러리 4관,198636.2504,451005.7216
서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",메가박스중앙(주)더부티크목동현대백화점105(COMFORT),188884.0756,447186.8886
서울특별시 양천구 목동 916 현대백화점 지하2층,"서울특별시 양천구 목동동로 257 (목동,현대백화점 지하2층)",메가박스중앙(주)더부티크목동현대백화점107(THE BOUTIQUE),188884.0756,447186.8886
서울특별시 중구 충무로2가 65-9,서울특별시 중구 퇴계로 123 (충무로2가),CGV명동역 씨네라이브러리 3관,198636.2504,451005.7216
서울특별시 중구 충무로2가 65-9,서울특별시 중구 퇴계로 123 (충무로2가),CGV 명동역 씨네라이브러리 5관,198636.2504,451005.7216
서울특별시 관악구 봉천동 862-1 12층,"서울특별시 관악구 남부순환로 1820, 12층 (봉천동, 에그엘로우)",롯데시네마 서울대입구1관,195703.0437,442094.0858
서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 2~1층 (삼성동)",코엑스 부티크 프라이빗 2호,205130.5917,445590.0968
서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 (삼성동)",코엑스 부티크 프라이빗 1,205130.5917,445590.0968
서울특별시 강남구 삼성동 159,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스)",코엑스 더 부티크105호,205130.5917,445590.0968
서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",롯데시네마 영등포 5관,191741.3458,445970.3076
서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",롯데시네마 영등포 6관,191741.3458,445970.3076
서울특별시 서초구 서초동 1317-20,서울특별시 서초구 서초대로77길 3 (서초동),메가박스중앙(주) 강남 6관,202276.9172,443970.968
서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",롯데시네마 영등포 7관,191741.3458,445970.3076
서울특별시 서초구 서초동 1317-20,서울특별시 서초구 서초대로77길 3 (서초동),메가박스중앙(주) 강남 5관,202276.9172,443970.968
서울특별시 서초구 서초동 1317-20,서울특별시 서초구 서초대로77길 3 (서초동),메가박스중앙(주) 강남 4관,202276.9172,443970.968
서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",롯데시네마 영등포 1관,191741.3458,445970.3076
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",메가박스중앙(주) 상암월드컵경기장지점 3관,,
서울특별시 마포구 성산동 515 월드컵쇼핑몰내 1층,"서울특별시 마포구 월드컵로 240 (성산동,월드컵쇼핑몰내 1층)",메가박스중앙(주) 상암월드컵경기장지점 4관,,
서울특별시 영등포구 영등포동 618-496 외 12필지,"서울특별시 영등포구 경인로 846, A동 7~9층 (영등포동, 롯데백화점 영등포점)",롯데시네마 영등포 4관,191741.3458,445970.3076
